model_year,make,model,body_style,transmission_type,vin,state,condition,mileage,color,interior,seller,market_value,selling_price,sale_date
2007,Toyota,Sequoia,SUV,Automatic,REG0SH09VJT7CBR2U,SC,45,267652,Gold,White,Financial Services Remarketing,2603,2543,2026-02-03
2021,Ford,F-150,Truck,Automatic,26JJ7DRJGL2ZLBTUB,OH,78,73910,Silver,Tan,DriveTime,21857,21543,2026-01-31
2026,Ford,Mustang,Sedan,Automatic,90ADEPW6L56N335W6,IN,87,233,Beige,Beige,AutoNation,47757,45096,2026-02-09
2019,Kaiser,M54,Truck,Automatic,VFJBANSMME2WLY58U,AZ,69,81051,Blue,Brown,Hertz Remarketing,4398,4383,2025-12-06
2004,Honda,Accord,Sedan,Automatic,4223A5J7H0UV6SP4X,IN,26,205221,Silver,Gray,Carvana,1329,1380,2026-03-01
2000,Subaru,Outback,Wagon,Automatic,5GTVRAB47GYHBUJNX,CO,14,241401,Red,Beige,Santander Consumer USA,779,793,2025-12-30
2021,Rivian,R1S,SUV,Automatic,D42YTE5JGCF25WR6Z,MO,64,47377,Green,Red,Enterprise Fleet Management,35390,37185,2025-12-05
2019,Mercedes-Benz,E-Class,Sedan,Automatic,ST4VZF7UU1Y9UJBBV,PA,66,82780,Brown,Black,Hendrick Automotive,16431,17728,2025-12-26
2019,Dodge,Ram 1500,Truck,Automatic,ZSEYM87D12FTZS61F,FL,86,58782,Green,Brown,Hendrick Automotive,18051,18033,2025-12-24
2003,Jeep,Grand Cherokee,SUV,Automatic,TP784V9WS77NLG7HB,MI,11,187207,Brown,Brown,Enterprise Fleet Management,801,817,2026-01-01
2021,Jeep,Grand Cherokee,SUV,Automatic,1EFWRG8ELEYJGGC4B,MN,85,61098,Beige,Beige,Santander Consumer USA,24375,22754,2026-01-11
2022,Ford,F-150,Truck,Automatic,RLCXZWM7YTNTAV2JE,TX,63,42638,Blue,Gray,Hertz Remarketing,22314,20830,2026-02-23
2021,Dodge,Challenger,Sedan,Automatic,DLBLDGXZT9B1R6JF3,GA,81,44417,Blue,White,Ford Motor Credit Company,18659,19256,2026-02-28
2015,Kia,Sorento,SUV,Manual,Z2NZ8DK9E7RUAF08E,KS,62,178799,Gold,White,DriveTime,3460,3268,2025-12-19
2021,Lucid,Air,Sedan,Automatic,URW7P0FXVKZPSMB1V,TN,73,59262,Silver,Gray,CarMax,39702,40038,2026-01-19
2018,Am General,M1097A,Truck,Automatic,D5LLSEM218DT2221V,CO,69,81911,Black,Gray,Penske Automotive,5028,5034,2026-02-20
2008,Chevrolet,Suburban,SUV,Automatic,KZH9MPE0AKF2199Z3,MN,50,290346,Blue,Tan,Shift,2309,2369,2026-02-01
2002,Hyundai,Tucson,SUV,Automatic,1SJG2NZFXFE500RMF,AZ,24,131055,Gold,Beige,Hendrick Automotive,1226,1128,2026-01-08
2022,Honda,Accord,Sedan,Manual,P6C02PBKHJVFK6C7V,OR,67,38569,Silver,Brown,DriveTime,17094,18377,2025-12-12
2016,Kaiser,M54,Truck,Automatic,WXC6D06A494K9HKBX,MA,63,141717,Silver,Beige,Avis Corporation,2044,2079,2026-01-27
2018,Chevrolet,Blazer,SUV,Automatic,2HZA274J5KEN59G34,NV,38,124774,Green,Brown,Nissan-Infiniti LT,3832,3532,2025-12-03
2024,Dodge,Ram 1500,Truck,Automatic,863Z1A1HGKTCFNJU3,VA,80,31800,Blue,Black,DriveTime,31683,29979,2025-12-04
2021,Subaru,Crosstrek,SUV,Automatic,F6Y3Y9759P2T3T32S,KY,54,52706,Silver,White,CarMax,10241,9685,2026-03-01
2022,Dodge,Ram 2500,Truck,Automatic,S6W1LEH1ZDPTFZ1YC,IL,89,48514,Silver,Beige,Carvana,36132,33815,2026-01-19
2014,Hyundai,Tucson,SUV,Automatic,RPK23UAL7769NV9YH,MN,55,107417,Beige,Red,Nissan-Infiniti LT,3513,3695,2026-01-12
2023,Rivian,R1T,Truck,Automatic,38RHH44FTMK6U5G58,IN,97,38759,Brown,Brown,Hendrick Automotive,62451,62183,2025-12-11
2025,Lucid,Air,Sedan,Automatic,LT1K68J8JP1LZL47T,PA,73,10710,Black,Brown,Avis Corporation,72331,67188,2026-01-14
2021,Lucid,Air,Sedan,Automatic,BWJ7BJ45H4A11V5EJ,TN,69,62876,Black,Red,Lithia Motors,35690,34976,2026-02-21
2014,Hyundai,Santa Fe,SUV,Manual,CWAGJ6P9V2L9KF88X,MO,67,190906,Brown,Red,Vroom,3167,3370,2025-12-16
2021,Lucid,Air,Sedan,Automatic,VZ9VEFVAC45F3MFT7,KY,75,49253,White,Gray,Shift,42203,44431,2026-02-05
2021,Rivian,R1S,SUV,Automatic,44B6DTKWW4U2MNM8N,CO,49,35812,Red,Beige,Sonic Automotive,27285,26079,2025-12-03
2018,Chrysler,300,Sedan,Automatic,ZY9JS3JA7W4AS81TW,WA,58,130245,Brown,Black,Santander Consumer USA,5964,5984,2025-12-06
2018,Mercedes-Benz,GLC,SUV,Automatic,EKZMMD2D8B1S92NGN,NY,73,73458,Gray,Brown,Carvana,14931,14333,2025-12-27
2026,Toyota,4Runner,SUV,Automatic,P333NY1XYVYBJ31D4,NC,89,100,Beige,Gray,Lithia Motors,48554,46399,2025-12-30
2025,Volkswagen,Passat,Sedan,Automatic,8MWK1CFE6LS4JTV8K,NY,93,13311,Silver,Brown,AutoNation,31072,30440,2026-02-22
2021,Rivian,R1S,SUV,Automatic,TVAUKW7PWY7A4L13Z,MI,51,42507,White,White,Carvana,29125,28641,2026-01-16
2021,Volkswagen,Tiguan,SUV,Manual,HU48RG7DWTFADP5NC,OR,73,43448,White,Gray,Crankyanky Auto,16469,15820,2025-12-26
2026,Chrysler,Pacifica,Minivan,Automatic,4GUVS7HYW9HC3X9PU,IN,86,371,White,White,Ford Motor Credit Company,44664,47186,2026-02-04
2018,BMW,X3,SUV,Automatic,36EXLWKVE40J9DD23,KY,59,80419,Brown,Black,Shift,11102,11274,2025-12-03
2015,Dodge,Charger,Sedan,Automatic,Z4WSKJSUFTA7KZ8GY,NY,50,77552,Gray,Gray,Carvana,4757,5039,2025-12-22
2017,Nissan,Pathfinder,SUV,Automatic,2GAVBC0VS0DB1UBUG,OR,65,105471,Brown,Brown,Wells Fargo Dealer Services,7762,8232,2026-02-25
2018,Am General,M1097A,Truck,Manual,WG45Z2ECAM8E6GYEX,IL,73,58672,Blue,Brown,Penske Automotive,5671,5970,2025-12-04
2022,BMW,X3,SUV,Automatic,CMNCG65X0NHP9VZCF,GA,69,49041,Red,Red,Lithia Motors,25687,27562,2026-01-17
2024,Kaiser,M54,Truck,Automatic,N30FBGFRLX143GNL7,KY,90,15955,Blue,Beige,Nissan-Infiniti LT,13594,13175,2026-02-10
2021,Rivian,R1S,SUV,Automatic,HLPZ66PUVDMRGT3VH,MN,80,47716,Black,White,TDAF Remarketing,41899,40264,2025-12-22
2021,Ford,Escape,SUV,Automatic,22TKEWPHSY6TEPERL,NJ,68,40223,Black,Brown,Sonic Automotive,14421,15420,2025-12-16
2021,Rivian,R1S,SUV,Automatic,U2ZDKS15MUUNE3HAJ,GA,81,62253,Gray,Black,Hendrick Automotive,40571,39351,2026-01-31
2020,Nissan,Pathfinder,SUV,Manual,CZUDW5Z0SCZ7G112E,FL,90,90423,Black,Brown,Sonic Automotive,17976,19280,2026-02-27
2016,Dodge,Durango,SUV,Automatic,C2YCXW7MHKGSN7TJM,NY,61,82850,Brown,Gray,Nissan-Infiniti LT,7303,6796,2026-02-24
2021,Hyundai,Tucson,SUV,Automatic,MT6U95135YZTTL5GS,MA,66,39643,Silver,Gray,CarMax,14059,13136,2026-02-26
2011,Mercedes-Benz,C-Class,Sedan,Automatic,SYD77FHUW4T82VYMU,TX,34,286930,Green,Gray,Carvana,1021,975,2026-02-08
2026,BMW,X5,SUV,Automatic,RZZP2P52ULBWTMB0B,NM,86,396,Gold,White,Sonic Automotive,76201,75610,2026-02-23
2017,Hyundai,Tucson,SUV,Automatic,63K8Z57NTEAJ58BHD,UT,64,115468,Brown,Black,TDAF Remarketing,5617,5609,2025-12-27
2023,Tesla,Model Y,SUV,Automatic,EE46HAUDEBDWR2G1T,MI,77,31863,White,Gray,Santander Consumer USA,35615,35287,2025-12-05
2026,Volkswagen,Jetta,Sedan,Automatic,WRTAFGFB9MNTHTR2A,NM,85,401,Black,White,Carvana,28397,28709,2026-01-18
2023,Chrysler,300,Sedan,Automatic,7838Z0A0KLFS096FH,TN,78,33696,Brown,Gray,Vroom,24210,23322,2026-01-08
2021,Kaiser,M54,Truck,Automatic,Z14LBMJ4V99KXCHBP,PA,60,42180,Blue,Black,Vroom,6208,6644,2026-01-31
2020,Dodge,Durango,SUV,Manual,94FBLYNH8M04ETLME,MA,68,70554,Black,Red,Sonic Automotive,14884,14470,2025-12-21
2012,Tesla,Model X,SUV,Automatic,J877T81VYW96X86MN,IN,31,234914,Gray,Red,TDAF Remarketing,2545,2699,2026-03-02
2015,Nissan,Altima,Sedan,Automatic,KKMLKW14ZZF97WJ43,CA,70,143859,Silver,Beige,Ford Motor Credit Company,3744,3487,2026-01-08
2020,Toyota,Prius,Hatchback,Manual,0KNK985VGUFGLYH1W,WA,73,48378,Beige,White,Penske Automotive,12556,12987,2026-02-07
2015,Toyota,Corolla,Sedan,Automatic,DZ80HRV678YDHT93A,MN,66,86801,Green,Tan,Nissan-Infiniti LT,4210,4080,2026-02-16
2024,Rivian,R1S,SUV,Automatic,451MSC4N5BEN492DW,UT,94,32492,Gold,Black,Financial Services Remarketing,65186,70070,2026-02-20
2022,Toyota,Sequoia,SUV,Automatic,8EUMNW9T6Z3SS2UZR,GA,80,51530,Beige,Red,Ford Motor Credit Company,36993,38970,2026-02-28
2021,Lucid,Air,Sedan,Automatic,SKWXGEMKYJE8JZDBJ,NJ,87,88611,Gold,Black,Santander Consumer USA,42005,44663,2026-01-21
2017,Volkswagen,Passat,Sedan,Automatic,ZR4FYEX2F23LUV1R2,WA,75,107512,Brown,Red,Vroom,6320,6574,2026-01-25
2016,Honda,Civic,Sedan,Automatic,RKR6PYBZ8AL9PC896,CA,60,85964,Gold,Red,DriveTime,4361,4489,2025-12-21
2022,Jeep,Cherokee,SUV,Automatic,FM2Z3F4XZV8SKE6JZ,TN,97,36372,Red,Tan,Ford Motor Credit Company,27840,28241,2025-12-08
2021,Honda,Passport,SUV,Automatic,0JA4D7S284U00B184,UT,82,64506,Gray,Tan,AutoNation,21990,22404,2025-12-04
2025,Kia,Optima,Sedan,Automatic,LCSMD36CP8FUFKHUT,PA,76,17201,Silver,Brown,Avis Corporation,21909,23105,2026-01-01
2019,Jeep,Cherokee,SUV,Automatic,AUXVGZHUJXR7H36G5,MD,75,95337,Blue,Red,Lithia Motors,10417,10574,2025-12-20
2023,Lucid,Air,Sedan,Automatic,UGDUJE3MS72ZH4ZPF,MN,74,34386,Gold,Beige,Lithia Motors,55195,54440,2026-02-08
2019,Subaru,Forester,SUV,Automatic,RLAZ6VKX8FF323H5M,TX,68,68865,Blue,Tan,Sonic Automotive,10104,10025,2026-01-02
2023,Chevrolet,Cruze,Sedan,Automatic,T0U0X9GM9RL6HWU8R,VA,73,40597,White,White,Lithia Motors,14182,13050,2026-01-06
2024,Chrysler,300,Sedan,Automatic,5ZJJ5Z7C38VTFBBEN,UT,83,31266,Silver,Tan,Avis Corporation,27721,26244,2025-12-14
2020,Nissan,Altima,Sedan,Automatic,0B780FXGZ4PLYXSWK,KY,72,69666,Brown,White,Carvana,11342,11617,2025-12-13
2026,Ford,Bronco,SUV,Automatic,AATZRUD692VBS45EJ,IN,100,398,Gold,Black,Crankyanky Auto,54545,54995,2026-02-14
2016,Toyota,RAV4,SUV,Manual,DD9ZZDS0YLENLNFFR,MA,56,86093,Blue,Black,AutoNation,5389,5309,2026-01-22
2016,Mercedes-Benz,E-Class,Sedan,Automatic,5UPR7TG5E2ZTCSRZX,VA,68,152059,Silver,Beige,Vroom,8851,8936,2026-01-15
2019,Chrysler,300,Sedan,Automatic,2R8WVMZBX037D4MJJ,AZ,73,58903,Blue,Gray,Santander Consumer USA,11875,10972,2025-12-12
2015,Honda,CR-V,SUV,Automatic,R0P3NGYN3R83N7U07,OH,46,87854,Brown,Tan,Crankyanky Auto,3686,3498,2025-12-26
2019,Toyota,4Runner,SUV,Automatic,5NXDM7CA2N1AMKW3B,IN,73,123416,Gold,Gray,Carvana,9678,9300,2025-12-22
2026,Subaru,Outback,Wagon,Automatic,6VSWJ53V2TK46J5LT,KS,79,229,Red,Brown,Shift,34594,36266,2026-01-13
2021,Dodge,Challenger,Sedan,Manual,T6ZR2U34ENZ66JMAA,OH,62,71190,Brown,Black,Financial Services Remarketing,13492,13652,2026-02-13
2024,Rivian,R1T,Truck,Automatic,TY3BK8AZ62G0JJGMH,KS,87,21933,Gray,Tan,AutoNation,65576,63958,2026-02-08
2019,Jeep,Wrangler,SUV,Automatic,2TX9YY8B65SVXTUYR,SC,74,113435,Beige,Red,Enterprise Fleet Management,10818,11547,2026-02-04
2024,Tesla,Model Y,SUV,Automatic,BTUJENALCFVSEEHJL,MN,71,16054,Red,White,Sonic Automotive,34267,33438,2025-12-02
2021,Rivian,R1T,Truck,Automatic,BXL6BVJE8NM6HUF4S,MD,77,48714,Gray,White,Carvana,37252,34959,2026-02-08
2004,Toyota,Highlander,SUV,Automatic,DB4PSKXGY6ZBW32UZ,NJ,23,277286,Silver,Red,Vroom,1235,1218,2026-01-18
2022,Am General,M1097A,Truck,Automatic,T4N182YF4HXJJLY7C,MI,90,59082,Black,White,Sonic Automotive,12818,12797,2026-01-23
2018,BMW,5 Series,Sedan,Automatic,T1TPHRVUT0UMUR73C,WA,78,97060,Green,Brown,CarMax,15787,17049,2026-01-19
2016,Dodge,Challenger,Sedan,Manual,J4JWSLHN2X9DZN7S1,GA,59,77108,Gray,Brown,Ford Motor Credit Company,6050,5576,2026-02-11
2021,Rivian,R1T,Truck,Automatic,4LR7U7LN1AN7BA01D,NC,78,59127,Gray,Red,Vroom,35897,34039,2025-12-28
2024,Subaru,Crosstrek,SUV,Automatic,7416RGX4GVNHEKBXR,NV,83,26970,Black,Brown,DriveTime,22251,22651,2025-12-31
2012,Tesla,Model 3,Sedan,Automatic,7HW5YN87KR69ZZLMF,PA,51,177496,White,Beige,Sonic Automotive,2693,2891,2025-12-04
2026,Mercedes-Benz,GLC,SUV,Automatic,EV0P940LWN7SPY5TX,TX,95,100,Black,Red,Hertz Remarketing,67665,67767,2026-01-20
2018,Chevrolet,Suburban,SUV,Manual,WRMAV8TG1YV9XN8RA,NJ,76,85269,Brown,Gray,Santander Consumer USA,16611,16907,2025-12-07
2016,Am General,M1097A,Truck,Automatic,5HGB9G5AZ7NW8XMFG,NY,65,138900,Red,White,Hendrick Automotive,2828,2951,2026-02-27
2022,Kia,Soul,Wagon,Automatic,PSA5W11F2ZLUF8YCS,KY,82,53702,Beige,Black,Financial Services Remarketing,13093,12276,2025-12-06
2020,Kia,Optima,Sedan,Automatic,D1Y2BPA9T1GG4G1KL,CA,69,44061,Green,Brown,Ford Motor Credit Company,11151,11644,2025-12-23
2023,Kia,Soul,Wagon,Automatic,07ZT4TPRJDBCB856Y,WI,54,42496,Red,Gray,Crankyanky Auto,10070,9413,2026-02-19
2005,Mercedes-Benz,C-Class,Sedan,Automatic,PG86LWBUEZJE99Z0H,VA,37,146775,Gold,Beige,Wells Fargo Dealer Services,2906,3037,2026-01-08
2022,Dodge,Charger,Sedan,Automatic,5V9XYY4AD9ES51AB5,KY,80,34013,Red,Black,Santander Consumer USA,22259,22768,2025-12-30
2012,Dodge,Durango,SUV,Manual,2LPU8HWF900XBW6SH,GA,60,134401,Gold,Gray,Santander Consumer USA,3835,3846,2025-12-16
2025,Lucid,Air,Sedan,Automatic,W03C6PW2YFPACL2Z1,CO,84,10115,Silver,Black,Crankyanky Auto,79777,81465,2025-12-22
2021,Hyundai,Tucson,SUV,Automatic,FLJ5LMTTYF9X7LX02,PA,60,68867,Brown,Red,TDAF Remarketing,11200,10877,2026-01-10
2019,Nissan,Pathfinder,SUV,Automatic,2U0AZ57H6F1PFWRBC,CO,67,77651,Gold,Tan,DriveTime,11158,11594,2025-12-06
2021,Chevrolet,Blazer,SUV,Automatic,9VXA3EEXZ97KL3Z42,NM,70,47006,Gray,Gray,Avis Corporation,16915,17125,2026-01-02
2018,Chevrolet,Equinox,SUV,Automatic,90C854SNRZJTG8V6L,KS,73,109170,Black,Tan,AutoNation,6698,6504,2026-01-06
2018,Nissan,Sentra,Sedan,Manual,RHS4M23CU6RFLPJ3D,MN,80,63027,Beige,Gray,Shift,7144,7000,2026-01-01
2018,Jeep,Wagoneer,SUV,Automatic,N9TUNF78732HNVG3N,AZ,66,96896,Beige,White,Lithia Motors,14017,13079,2026-02-18
2014,Subaru,Outback,Wagon,Automatic,F94SKKKSMBK1UV01V,IL,42,151185,Green,White,CarMax,2474,2294,2025-12-15
2026,Lucid,Air,Sedan,Automatic,DEUSG0JZGJV138BJD,VA,85,499,Beige,Red,Avis Corporation,96183,95667,2026-02-14
2021,Ford,Edge,SUV,Automatic,RZU0ZBRA0F9DSRWWK,NM,86,60558,Red,Brown,TDAF Remarketing,21645,22574,2026-02-17
2026,Honda,Accord,Sedan,Automatic,AMPUGVJM1B51GF4GU,WA,81,384,Brown,Gray,Avis Corporation,33725,31138,2025-12-08
2024,Am General,M1097A,Truck,Automatic,NK35T8C4DG98S89R5,AZ,87,30904,Green,White,Financial Services Remarketing,15482,16620,2025-12-22
2026,Mercedes-Benz,GLC,SUV,Automatic,7EDLSJKUEHFZ3L05S,KS,91,454,Black,White,Penske Automotive,67040,67871,2025-12-21
2001,Chevrolet,Malibu,Sedan,Automatic,TA6YHZ0K3H9N3H550,KS,18,374969,Red,Black,Hertz Remarketing,367,355,2025-12-04
2013,Subaru,Outback,Wagon,Automatic,VZ089MFWE152M8X1J,NV,57,170838,Gray,Beige,Nissan-Infiniti LT,2869,2850,2026-01-24
2019,BMW,3 Series,Sedan,Automatic,34M89MESFPT08FJ0H,GA,65,66427,Gray,Red,Wells Fargo Dealer Services,13615,14073,2025-12-11
2016,Chevrolet,Colorado,Truck,Automatic,Z70AHL29FCGBKAGM9,MO,63,91589,Green,Red,Santander Consumer USA,5705,5563,2026-01-08
2018,Kia,Optima,Sedan,Automatic,TSPAJLWKA93T0X9BX,MA,73,90946,Beige,Brown,Avis Corporation,6672,6176,2026-02-15
2018,Ford,Explorer,SUV,Automatic,9C5MV02D3EP2B0NZ3,UT,74,84037,Silver,Gray,Lithia Motors,11675,12226,2025-12-14
2026,Dodge,Challenger,Sedan,Automatic,97ZKZ9CYWYAG90V1T,TN,89,430,Silver,Black,Ford Motor Credit Company,42013,42810,2026-02-27
2020,Honda,Accord,Sedan,Automatic,3G9MN3F8TP55714S9,IN,61,57790,White,Red,TDAF Remarketing,10513,9896,2026-02-12
2017,Toyota,Sienna,Minivan,Automatic,6GJN4AKJ0XBHV89RG,NM,54,134057,Beige,Beige,TDAF Remarketing,5417,5246,2025-12-05
2009,Chevrolet,Colorado,Truck,Manual,FHP17A43LUL00G52Y,WI,33,223598,Green,Gray,Vroom,1133,1119,2025-12-25
2026,Rivian,R1S,SUV,Automatic,UPY62CMUKMA7GGTDU,UT,89,157,Brown,White,Hendrick Automotive,93613,94120,2025-12-22
2013,Nissan,Rogue,SUV,Automatic,6B8XY9JMTRBSNSP7D,IN,52,72869,Beige,Brown,Lithia Motors,3240,2999,2026-01-12
2020,Nissan,Pathfinder,SUV,Automatic,GBDZ5GPKAP1RWESS8,VA,76,28915,Black,Brown,Sonic Automotive,20554,20164,2025-12-24
2025,Toyota,4Runner,SUV,Automatic,T7T7DTC5XP9Z58ALB,PA,82,10206,Brown,Red,Enterprise Fleet Management,38595,36735,2025-12-20
2023,Rivian,R1S,SUV,Automatic,T93880BV6XZWSEFP5,GA,63,39860,Silver,Black,Santander Consumer USA,44663,43303,2026-01-09
2023,Kia,Sportage,SUV,Automatic,016L3M2MX9VBW7VKD,TN,86,21884,White,Brown,Hendrick Automotive,24333,25276,2026-02-20
2018,Volkswagen,Tiguan,SUV,Automatic,54MAW9BVRUTM276R5,KY,68,118547,Gold,White,Hendrick Automotive,6785,6978,2025-12-16
2018,Am General,M1097A,Truck,Automatic,3VX5RHP8HDTAWJT1U,WA,71,166225,Blue,Red,Penske Automotive,3277,3197,2026-02-21
2024,Chevrolet,Equinox,SUV,Automatic,RBB6PWA228YAP48KL,CA,95,24008,Blue,Gray,Wells Fargo Dealer Services,26554,27819,2025-12-21
2021,Rivian,R1T,Truck,Automatic,EK16M1KYSV6TLAUND,TN,73,60253,Gray,Red,Shift,35260,34987,2026-02-27
2015,Ford,F-250,Truck,Automatic,4KZ5BJ3HG2UM6WCJT,UT,52,136878,Red,Red,Crankyanky Auto,5901,5539,2025-12-03
2020,Kaiser,M54,Truck,Automatic,K1A316VBB2WE2BURH,MD,77,114087,Silver,Tan,Wells Fargo Dealer Services,4832,4765,2026-01-04
2018,Jeep,Compass,SUV,Automatic,65KT45X4JN8HNA2EM,TX,57,72970,Green,Red,Avis Corporation,5787,6087,2026-02-21
